iter	AUC	Logloss	Accuracy	Precision	Recall
0	0.8091927469	0.6854550918	0.8298938553	0.6864877633	0.2754816186
1	0.8122266829	0.6779432386	0.831870818	0.6803888171	0.3009027324
2	0.8140619993	0.6706079503	0.8321814836	0.6752275305	0.3104080447
3	0.8161502182	0.6635051065	0.8339793093	0.6744828357	0.3287591665
4	0.8159059882	0.6565629918	0.8331199357	0.6703030579	0.3262865348
5	0.8158390224	0.6497626434	0.8331340568	0.6712611174	0.3250633284
6	0.8161298335	0.643186872	0.8337701143	0.6697125664	0.3335461087
7	0.8170104027	0.6366870018	0.832962989	0.6725287887	0.3216175771
8	0.8176994324	0.6303689416	0.8335946085	0.6698462942	0.3316200376
9	0.8176286519	0.6242683977	0.8333406293	0.6678307709	0.3320667651
10	0.8182204366	0.6182662985	0.8337678953	0.6699846876	0.3331256
11	0.8181780875	0.6124909448	0.8337297682	0.6700099099	0.3327131586
12	0.8184073269	0.6067945688	0.833810864	0.6700713359	0.3334220738
13	0.8183452487	0.6013137422	0.8338941788	0.672216388	0.3311359988
14	0.8188026547	0.5959588461	0.8339363406	0.671991963	0.3318691159
15	0.8191607594	0.590713036	0.8339540929	0.6734838816	0.3299178344
16	0.8192982972	0.585584482	0.8339714418	0.672791993	0.3310674266
17	0.8192636967	0.5806665854	0.8340053326	0.672999586	0.3311017127
18	0.8193449676	0.5757949861	0.8341937492	0.6731864894	0.3326667715
19	0.8196983635	0.5711001031	0.8343057099	0.6732186632	0.3337084634
20	0.8203227818	0.5664668993	0.8344378436	0.6744573848	0.333225433
21	0.8208236098	0.5619925081	0.834564934	0.6751110404	0.3335279573
22	0.8212296963	0.557636533	0.8347983367	0.6762087799	0.3342277967
23	0.8214513958	0.5534116829	0.8349893758	0.6766705592	0.3354106666
24	0.8217214644	0.5492761996	0.8350448518	0.6769643319	0.3355296595
25	0.8218755126	0.5452430444	0.835201395	0.6777667677	0.3359027727
26	0.8219413757	0.5413068208	0.8352623177	0.6778988151	0.3362990795
27	0.8222581744	0.5374563833	0.8353906186	0.6784907976	0.3366953863
28	0.8227592111	0.5337472582	0.8354491205	0.6792312535	0.3362244569
29	0.8232418895	0.5300395957	0.8355467583	0.6804041495	0.33553571
30	0.8233299553	0.5264662356	0.8355756058	0.6797143101	0.3367548827
