iter	Passed	Remaining
0	409	409227
1	838	418190
2	1245	414012
3	1650	410865
4	2075	413075
5	2486	412008
6	2892	410387
7	3304	409704
8	3711	408663
9	4135	409456
10	4561	410078
11	4966	408942
12	5394	409567
13	5821	410012
14	6231	409222
15	6645	408686
16	7067	408695
17	7488	408539
18	7913	408569
19	8310	407192
20	8705	405834
21	9101	404599
22	9510	404004
23	9918	403358
24	10327	402784
25	10721	401650
26	11114	400519
27	11513	399691
28	11923	399237
29	12315	398213
30	12720	397633
31	13143	397604
32	13531	396516
33	13935	395940
34	14338	395345
35	14757	395185
36	15146	394212
37	15555	393796
38	15959	393266
39	16356	392563
40	16761	392054
41	17152	391246
42	17561	390845
43	17956	390148
44	18341	389241
45	18741	388690
46	19140	388096
47	19536	387476
48	19946	387128
49	20357	386793
50	20764	386390
51	21157	385708
52	21561	385267
53	21962	384744
54	22356	384118
55	22763	383722
56	23166	383256
57	23566	382746
58	23980	382468
59	24387	382073
60	24783	381496
61	25198	381227
62	25610	380907
63	26018	380514
64	26413	379949
65	26832	379717
66	27225	379119
67	27629	378682
68	28043	378387
69	28452	378008
70	28845	377435
71	29262	377161
72	29670	376769
73	30085	376470
74	30476	375878
75	30872	375344
76	31288	375051
77	31697	374679
78	32109	374341
79	32507	373833
80	32898	373258
81	33325	373078
82	33726	372615
83	34125	372125
84	34522	371624
85	34917	371099
86	35330	370765
87	35736	370356
88	36131	369842
89	36543	369492
90	36968	369281
91	37375	368879
92	37770	368360
93	38178	367972
94	38602	367737
95	39026	367500
96	39435	367111
97	39845	366737
98	40226	366103
99	40626	365635
100	41071	365580
101	41477	365160
102	41886	364781
103	42308	364506
104	42714	364090
105	43091	363433
106	43501	363054
107	43895	362541
108	44289	362036
109	44728	361897
110	45134	361482
111	45537	361047
112	45959	360759
113	46383	360490
114	46771	359938
115	47206	359747
116	47630	359467
117	48039	359074
118	48421	358479
119	48817	357992
120	49271	357927
121	49681	357543
122	50127	357411
123	50542	357057
124	50932	356524
125	51331	356061
126	51752	355749
127	52128	355126
128	52517	354593
129	52900	354024
130	53305	353605
131	53691	353060
132	54080	352540
133	54496	352196
134	54897	351748
135	55290	351255
136	55735	351092
137	56181	350932
138	56578	350462
139	56983	350041
140	57362	349466
141	57782	349136
142	58201	348799
143	58626	348499
144	59072	348324
145	59459	347799
146	59911	347649
147	60294	347101
148	60680	346571
149	61065	346039
150	61449	345501
151	61864	345136
152	62252	344625
153	62641	344118
154	63048	343716
155	63432	343186
156	63844	342810
157	64249	342390
158	64641	341906
159	65067	341606
160	65459	341122
161	65867	340722
162	66258	340234
163	66687	339945
164	67062	339378
165	67439	338823
166	67851	338446
167	68299	338245
168	68686	337742
169	69070	337227
170	69524	337050
171	69907	336529
172	70345	336276
173	70726	335746
174	71154	335442
175	71612	335276
176	72000	334781
177	72374	334224
178	72785	333836
179	73160	333285
180	73546	332785
181	73936	332307
182	74320	331801
183	74707	331311
184	75127	330965
185	75511	330462
186	75922	330081
187	76306	329579
188	76724	329224
189	77105	328713
190	77507	328292
191	77892	327796
192	78317	327470
193	78691	326936
194	79097	326530
195	79550	326319
196	79953	325902
197	80327	325368
198	80728	324943
199	81130	324521
200	81499	323969
201	81866	323412
202	82311	323163
203	82762	322934
204	83200	322655
205	83617	322291
206	83992	321769
207	84392	321341
208	84763	320803
209	85149	320325
210	85600	320089
211	85986	319611
212	86351	319053
213	86744	318602
214	87160	318238
215	87596	317942
